0,1765
0.017,950
0.681,105676
0.702,67347
1.035,157724
1.37,59366
1.429,123417
1.478,471185
7.139,249665
8.038,786529
12.875,4862
13.481,121623
13.911,172904
19.002,1081
19.008,235919
19.435,4191
20.219,2973
23.199,224015
23.406,1013
26.376,1801
27.592,267789
28.034,263211
28.111,212912
28.157,1538873
28.637,353590
44.433,371783
54.687,983158
71.08,4862
73.287,176169
79.391,154165
79.398,4187
79.457,184631
79.56,1519352
79.847,383539
79.934,403739
84.063,385749
85.313,1472331
99.064,404704
129.898,1522661
130.225,400499
159.898,366094
183.145,1461578
190.398,399680
220.203,391898
220.471,1451116
250.406,400823
274.4,1435072
280.149,382189
309.663,429440
320.843,1437064
340.396,390715
357.896,1442065
369.688,404559
390.148,1416256
400.398,380872
433.662,257349
434.841,1187176
442.924,402340
450.95,1498878
458.176,390862
477.103,1524627
477.266,397290
507.945,412470
528.928,1414065
547.066,271967
557.365,411274
560.809,1429151
572.309,412446
583.058,1469546
587.558,381372
602.559,376422
603.809,1307601
616.81,193888
